4.720590352666377276e-01 2.963868889105298887e-01 3.403831241853946254e-01 1.154973173483319071e-01 9.180669240648885454e-01 3.310555565744999207e-03 1.128663194967609584e-01 5.799601451338668445e-01 6.628290992054285402e-01 7.331271106662046178e-01
2.088221391499377466e-01 5.481193619572362064e-01 5.538583600169576515e-01 8.023901370236223851e-01 2.870037271733607565e-01 5.042809773127975292e-01 2.202274483631472268e-01 3.529199331545010976e-01 3.498221816932780559e-01 2.958129604812644864e-01
2.321426139529644272e-01 4.581601341048278098e-01 1.427424609898946262e-01 1.300551096980296917e-01 7.913452721121608802e-01 2.331689601210716889e-01 2.817163560021774815e-01 3.019308992048037599e-01 3.989728010611557352e-01 4.567637465949763165e-01
7.243447288241402493e-01 2.905339238521065237e-02 2.083266914390877744e-01 8.251046196318936321e-01 6.923994786009002311e-01 6.006457903116677599e-01 6.607037322842769234e-01 3.194555036865609488e-01 8.923680816766976776e-03 9.027708472701545528e-02
9.098899287421382542e-01 7.836590142125321456e-01 9.338028337133430501e-01 7.075894059174333561e-01 7.489715359914830284e-01 5.265397481742758456e-01 7.183519781228401291e-01 7.239228895196669900e-01 3.412422360507538777e-01 1.945142585292721771e-01
3.433559539200647936e-01 7.408315722261882286e-02 3.588542533013405755e-02 5.811342588712851143e-01 8.857170448796357620e-01 8.763565758853092413e-01 6.800143017688694558e-01 9.992309843464545205e-01 2.204354250641067381e-01 7.703456439291486157e-01
5.850868255081700386e-01 7.509338322892662454e-01 2.311755155854122723e-02 8.079695499120372881e-01 3.830445493393318523e-01 7.532627234103953517e-01 1.999842953757151598e-01 6.968090424661202986e-01 1.067604512624583668e-01 3.839428788300284223e-01
5.369155349551310019e-01 1.732758417024125031e-01 9.476414459821652647e-01 6.360541309172927926e-01 6.635028686354191851e-01 8.994562972680260060e-01 9.103672756213831985e-02 4.376024504417895811e-01 1.996611897431377347e-01 8.052072805272685319e-01
8.108658682702140075e-01 6.476208940045384832e-01 7.864732377407623876e-02 6.926220292969048620e-01 4.887339241391824851e-01 7.106500481302485683e-01 8.729361836508562345e-01 5.280781424693179460e-01 6.438810831928455380e-01 1.777515055497285168e-01
6.129907360854082166e-01 3.804018204680356119e-01 4.511264499494984648e-01 4.521007524616791340e-01 9.964347473901473684e-01 5.701554539432458490e-01 8.723002949777672876e-01 4.639210911852867936e-01 3.926136571154783539e-01 6.170301996596319061e-01
